File,Node,frequencies at node,r:0:c:b16,r:0:c:c,frequencies after node,r:0:c:b16:b68,r:0:c:b16:c,r:0:c:b16:f,,EV OOP,EV IP
As5h3s.cfr,r:0:c:b16,   ,0.5,0.5,   ,0.1667,0.1667,0.1667,   , 23.472, 29.528
As5h3s_small.cfr,r:0:c:b16,   ,0.5,0.5,   ,0.1667,0.1667,0.1667,   , 28.863, 24.137
KdTc9h.cfr,r:0:c:b16,   ,0.5,0.5,   ,0.1667,0.1667,0.1667,   , 24.151, 28.849
KdTc9h_small.cfr,r:0:c:b16,   ,0.5,0.5,   ,0.1667,0.1667,0.1667,   , 36.793, 16.207
Qh6c5s.cfr,r:0:c:b16,   ,0.5,0.5,   ,0.1667,0.1667,0.1667,   , 23.419, 29.581
Qh6c5s_small.cfr,r:0:c:b16,   ,0.5,0.5,   ,0.1667,0.1667,0.1667,   , 22.576, 30.424
